"masked_pin","period","tax_type","total_turnover","total_operating_expense","total_administrative_expenses","total_financial_expenses","total_other_expenses","gross_tax"
"62d3a240c847b31194c8e079560f2f6d206300843c7c121b85e1a9e69df5bfbc","2023",Income Tax - Resident Individual,36512.00,5325.00,0.00,0.00,25100.00,165788.00
"661eca2b7dde68a080657171585329cb478110fefef3493bb8197f0124954b6b","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
d9e88d5d88c318d992858c20beeace709a320d92ad17d7268e754a22a5e19399,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"13f217d83acd6403db4baa910b3d8c7ac6556805571dad3f28b51abe3cc769c8","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
ceea3da1d327d203512d38c9b341d62f12897774c06589667d482d0498dd4075,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
a7e3fe4d7ad496c88491f79232c2c4b3def266410d39af756fdfcd3bcb8d4b73,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"78e938f544e413407892dda7cba7978ffca8133fc02f59908af7539e3f11225a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"651cf6dc036dcfa49ba797c529cfc3d5df38029eddd077b5936db8372bf728f5","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,112.00
"00041ac631cfbf1d1360db3e45e87490cbb6855423999368beec35058259997b","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"000fb9c639ed8d1db69434b368c52e2c385aa0e30e4351656263823ed44cf5ad","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,152111.00
"3db0bdaa474969efe25e95c0c89c2c3f0edf58b0ad0ad4b1780966306684d486","2023",Income Tax - Company,3719525.00,55029.00,0.00,0.00,0.00,0.00
"30ff0aaa7ad4e9cdd008e49f6d6e722403d76130e9bdfe7d644d372f096a2d2b","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,52291.00
e2a89d8d51d739a415b299c83c6ed2d48dcfc7d1245196dd14022b957e7cd2c0,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,276250.00
ec7a41f5567295fbe85f3944dd84897f4854ccf4f851c83eb12dd6740a65e2ab,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"1e2300d19f11c3b1e27151e792581121289dd801e2b89dad31050bddd0b021f1","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
c0f5461c8986038ce3a28b80f7def8e4158ac552a824f05b55f98d511a42175c,"2024",Income Tax - Resident Individual,41040.00,41040.00,0.00,0.00,0.00,464675.00
"554e7ea2800f9b5b1bace22e43b7629d3642fe1aaea6d6e537fc8a84c8ba9380","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"375d07ed2ea947de176794d6a94f76037df36e4bb004f879e556d70c15c0baf2","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"54e8bb2cb6296c7d544b3fff9cd64a084f0782a2f36eb41b5924e70985de8bb4","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,104096.00
e50f5b63e424bda3c03779eec68b184fab108d0d7691d1bfa237d78c3872355e,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,82487.00
a48a50c0573d41f6228582fe6a17e271fb513ebc0c7569300579dcf698020f6e,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,9836.00
"582257fc12501d885d28864f880db0e2293dfb6aa00e93f1a4e9d714dc41613a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"1b839b03760527d60502bf2af465e995dbbfaadcd2cf08eddc75ee754e9f7496","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"284be91727bd2093db6b9863d2ab260ada7ea106d673cd0cd871ec74ccb46d42","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,203233.00
"07edcedf22d9e3aa98180267aba4ecc81e69bc9cb7c8eed4c8089c1a786c5af9","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,518.00
"49a193f31e096e53a939091fe365b12b33f42aa2ba6b3d91f66b79ba95b6f247","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"874f399c6cebeebc5dab2f1b7461a49249466213b43023352f11ca67d8df5534","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"047f160d15ec94a2d4c127c4c36a4266a89d9a547d553df0b980e84a8d5d786b","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
cbe39ad775ae5ee6a333183c502182e0f4e9894f01c13270caa01992f45f9a3c,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"9ba8ade69b99c4438dfbd9a91b20d92c00be8f658c4ea396c1eb21e26960810a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"0004eb826a74aa4147b42b2e2318e863790b530545a31bbbd17dc1181e9324ab","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,88912.00
"000fb9c639ed8d1db69434b368c52e2c385aa0e30e4351656263823ed44cf5ad","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,137821.00
"000b920b3bc4fc965ed1a06f64ef5db521309fbe00796710bc1f843523eb23ba","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
ffc56c3333ee29a0585df0aafb92137e55ede16adaa96604fd1c1e4b4ebc5fbd,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"8b39ee0cc27b8b90c859a29b203e6fd8f1bdd1f9874616ab79077b9a92b45480","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,131593.00
"746a4f9254f7e8cd1003ab7fc6fa7ae9743394bf758d01b8eee11cf5dc736234","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"6dacbf53f55a2020aaf68e661355a1c23599c94da7d5476c8cf3e44ad6267269","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
c7daea91b1d41b7d56d28a8f8942762bfff0da090740d86aa5f8ff224109c12b,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,220476.00
d11f34453a36a6ac05aa3209bd47c19b28badfcea6c15f6980684684ff3279f1,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,91025.00
c7d752f18788a04e432ef109ba0c0acadbc421fe08187c9e50d0ba88661f4829,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,94034.00
"3c871956328237d0b19c2491764dffb118a17b0b225ce64c46eff46565588748","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,376454.00
"116cbaf84ad3d4266c9365ec640518328e75c6a0a9e6bbf47c4083b95fd21a80","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"067cf8f53be282dbd9e99c323f97fa422f8352de040998e34720c9ec763ecfec","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
caaa4d5092e39c1c402a81da2f6419317764ab2e7a20daace245698b4e1d4702,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,109356.00
bb1cce770173aaf1719ac604190710342f508ef440fc68c1450b41b3407a10f1,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,23103.00
"522bbc0eb4656271419c16d381d071d65c3556f77b272032aedb071d7f988a57","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,46101.00
ad9ba329d35e3e1facd5552d628511b5bcd3ebc9c3c0641a9bca040a3ce6da3a,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"91166153662305537565bebc5997525dd33ec6f78ecb8f1ab93790d77362a3e4","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"9ba7db4db61ac7e535167cce0659e4d70790263319fc2ea60b6812a4ff7c9880","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"0e7b4af6acc755b1a012e35844dc44f1f63364984324ab62bf704b85cc20e846","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,43960.00
cbbf655706869a6502d5fac4280d08768b62387351ef3d52dad4ff7aeb86099a,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,99240.00
a1c64c060916fab23eb4870e368c41c9e5062d69a59c092f7be070bd0c7c323a,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,109804.00
"0009689cf80bcf28b0cff29d6b9f2fecb77f81312cc25db7b8f4cfcbfb157047","2024",Income Tax - Resident Individual,1168952.00,0.00,0.00,1168952.00,0.00,6293374.00
"0006529e6625a2dbe8112d5e4aa848b2b7290fca656fb786fbc98593d6e6c0b9","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,186378.00
"0009689cf80bcf28b0cff29d6b9f2fecb77f81312cc25db7b8f4cfcbfb157047","2023",Income Tax - Resident Individual,503224.00,0.00,0.00,503224.00,0.00,7962540.00
"0006529e6625a2dbe8112d5e4aa848b2b7290fca656fb786fbc98593d6e6c0b9","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,181994.00
